title,Title,Genre,keywords,tagline,Description,runtime,release_date,homepage,original_language,spoken_languages,production_countries,production_companies,budget,revenue,vote_count,Rating
Terminator Salvation,Terminator Salvation,"Action, Science Fiction, Thriller","saving the world, artificial intelligence, prophecy, san francisco, cyborg, killer robot, gas station, post-apocalyptic, dystopia, army, firearm, wartime, los angeles",The End Begins.,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",115,20/05/2009,https://www.warnerbros.com/terminator-salvation,en,"English, Italiano","Germany, Italy, United Kingdom, United States of America","Columbia Pictures, The Halcyon Company, Wonderland Sound and Vision, Warner Bros.",200000000,371353001,2463,5.9
Furious 7,Furious 7,Action,"car race, speed, revenge, suspense, car, race, muscle car",Vengeance Hits Home,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,137,01/04/2015,http://www.furious7.com/,en,English,"Japan, United States of America","Universal Pictures, Original Film, Fuji Television Network, Dentsu, One Race Films, China Film Co., Québec Production Services Tax Credit, Media Rights Capital (MRC), Abu Dhabi Film Commission, Colorado Office of Film, Television & Media",190000000,1506249360,4176,7.3
World War Z,World War Z,"Action, Drama, Horror, Science Fiction, Thriller","dystopia, apocalypse, zombie, nuclear weapons, multiple perspectives, zombie apocalypse",Remember Philly!,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",116,20/06/2013,http://www.worldwarzmovie.com,en,English,"United States of America, Malta","Paramount Pictures, GK Films, Skydance Productions, Hemisphere Media Capital, Apparatus Productions, Latina Pictures, 2DUX²",200000000,531865000,5560,6.7
X-Men: Days of Future Past,X-Men: Days of Future Past,"Action, Adventure, Fantasy, Science Fiction","1970s, mutant, time travel, marvel comic, based on comic book, superhuman, storm, beast, aftercreditsstinger, changing the past or future","To save the future, they must alter the past",The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,131,15/05/2014,http://www.x-menmovies.com/,en,English,"United Kingdom, United States of America","Twentieth Century Fox Film Corporation, Donners' Company, Marvel Entertainment, Bad Hat Harry Productions, TSG Entertainment, Down Productions, Revolution Sun Studios",250000000,747862775,6032,7.5
Star Trek Into Darkness,Star Trek Into Darkness,"Action, Adventure, Science Fiction","spacecraft, friendship, sequel, futuristic, space, alien, imax, space opera, terrorist bombing, 3d",Earth Will Fall,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",132,05/05/2013,,en,English,United States of America,"Paramount Pictures, Skydance Productions, Bad Robot, Kurtzman/Orci",190000000,467365246,4418,7.4
Jack the Giant Slayer,Jack the Giant Slayer,"Action, Family, Fantasy","based on fairy tale, giant",Prepare for a giant adventure,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",114,27/02/2013,http://jackthegiantkiller.warnerbros.com,en,English,United States of America,"New Line Cinema, Original Film, Legendary Pictures, Warner Bros., Big Kid Pictures, Bad Hat Harry Productions",195000000,197687603,2598,5.5
The Great Gatsby,The Great Gatsby,"Drama, Romance","based on novel, infidelity, obsession, hope, 3d",Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",143,10/05/2013,,en,English,"United States of America, Australia","Village Roadshow Pictures, Bazmark Films, Warner Bros., A&E Television Networks, Red Wagon Entertainment, Spectrum Films",105000000,351040419,3769,7.3
Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,"Adventure, Fantasy, Action, Romance","persia, sandstorm, brother against brother, armageddon, regent, based on video game",Defy the Future,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",116,19/05/2010,http://disney.go.com/disneypictures/princeofpersia,en,English,United States of America,"Walt Disney Pictures, Jerry Bruckheimer Films",150000000,335154643,2317,6.2
Pacific Rim,Pacific Rim,"Action, Science Fiction, Adventure","dystopia, giant robot, giant monster, apocalypse, imax, duringcreditsstinger, 3d","To Fight Monsters, We Created Monsters","When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",131,11/07/2013,http://www.pacificrimmovie.com/,en,English,"United States of America, Canada","Legendary Pictures, Warner Bros., Disney Double Dare You (DDY), Indochina Productions",180000000,407602906,4794,6.7
Transformers: Dark of the Moon,Transformers: Dark of the Moon,"Action, Science Fiction, Adventure","moon, spacecraft, traitor, bodyguard, alien planet, based on cartoon, transformers, giant robot, sabotage, word domination, commando, duringcreditsstinger",The invasion we always feared. An enemy we never expected.,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",154,28/06/2011,http://www.transformersmovie.com/,en,English,United States of America,"Paramount Pictures, Di Bonaventura Pictures, Indochina Productions, Hasbro Studios",195000000,1123746996,3299,6.1
Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,"Adventure, Action","saving the world, riddle, whip, treasure, mexico city, leather jacket, machinegun, alien phenomenons, maya civilization, peru, treasure hunt, nuclear explosion, refrigerator, archaeologist, indiana jones, archeology ",The adventure continues . . .,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",122,21/05/2008,http://www.indianajones.com/site/index.html,en,"English, Deutsch, Pусский",United States of America,"Lucasfilm, Paramount Pictures",185000000,786636033,2495,5.7
The Good Dinosaur,The Good Dinosaur,"Adventure, Animation, Family","tyrannosaurus rex, friends, alternate history, dinosaur, fear, storm, nature, human, journey",Little Arms With Big Attitude,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,93,14/11/2015,http://movies.disney.com/the-good-dinosaur,en,English,United States of America,"Walt Disney Pictures, Pixar Animation Studios",175000000,331926147,1736,6.6
Brave,Brave,"Animation, Adventure, Comedy, Family, Action, Fantasy","scotland, rebel, bravery, kingdom, archer, wish, bear, scot, rebellious daughter, turns into animal, archery, ruins, aftercreditsstinger, peace offering, woman director, courage, 3d",Change your fate.,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",93,21/06/2012,http://disney.go.com/brave/#/home,en,English,United States of America,"Walt Disney Pictures, Pixar Animation Studios",185000000,538983207,4641,6.7
